Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime
YS|PL45|24.2006|-154.811996|-4686.0|WHOI OBS ID S03|2006-04-19T00:00:00|2007-05-19T23:59:59
YS|PL46|24.312099|-156.9646|-4428.0|WHOI OBS ID S14|2006-04-20T00:00:00|2007-05-19T23:59:59
YS|PL47|22.620199|-158.185394|-4830.0|Mercy|2006-04-22T00:00:00|2007-05-18T23:59:59
YS|PL48|22.2999|-155.6362|-4528.0|WHOI OBS ID S38|2006-04-22T00:00:00|2007-05-20T23:59:59
YS|PL49|21.168699|-154.251801|-5173.0|Rosco|2006-04-24T00:00:00|2007-05-19T23:59:59
YS|PL50|22.319901|-152.742706|-5021.0|WHOI OBS ID S10|2006-04-24T00:00:00|2007-05-21T23:59:59
YS|PL51|23.684299|-151.695694|-5485.0|WHOI OBS ID S31|2006-04-25T00:00:00|2007-05-22T23:59:59
YS|PL55|18.3018|-152.981201|-5076.0|WHOI OBS ID S34|2006-04-28T00:00:00|2007-05-25T23:59:59
YS|PL57|18.9142|-150.914993|-5335.0|WHOI OBS ID S25|2006-04-29T00:00:00|2007-12-13T23:59:59
YS|PL59|16.989|-149.0009|-5374.0|WHOI OBS ID S11|2006-04-26T00:00:00|2007-12-14T23:59:59
YS|PL61|16.737801|-151.637604|-5186.0|WHOI OBS ID S28|2006-05-02T00:00:00|2007-05-26T23:59:59
YS|PL62|14.6891|-151.6866|-5765.0|WHOI OBS ID S20|2006-05-02T00:00:00|2007-05-30T23:59:59
YS|PL63|14.7313|-153.967499|-5603.0|Love|2006-05-04T00:00:00|2007-05-28T23:59:59
YS|PL65|17.315399|-153.868195|-5115.0|WHOI OBS ID S19|2006-05-04T00:00:00|2007-05-25T23:59:59
YS|PL66|17.614901|-156.387695|-4826.0|WHOI OBS ID S46|2006-05-05T00:00:00|2007-05-31T23:59:59
YS|PL67|16.162001|-156.206604|-5112.0|Yogi|2006-05-08T00:00:00|2007-05-29T23:59:59
YS|PL68|14.6596|-157.8591|-5637.0|WHOI OBS ID S13|2006-05-08T00:00:00|2007-06-01T23:59:59
YS|PL69|16.3484|-157.700806|-5365.0|WHOI OBS ID S39|2006-05-05T00:00:00|2007-06-01T23:59:59
YS|PL70|15.574|-158.982498|-5591.0|Loco|2006-05-09T00:00:00|2007-05-31T23:59:59
YS|PL71|17.746901|-161.367599|-5601.0|WHOI OBS ID S30|2006-04-13T00:00:00|2007-06-03T23:59:59
YS|PL73|18.564699|-158.760193|-4686.0|Chappell|2006-05-10T00:00:00|2007-06-02T23:59:59
YS|PL74|20.3778|-158.179504|-4541.0|WHOI OBS ID S08|2006-05-09T00:00:00|2007-06-05T23:59:59
