#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
8Q|P04|27.967133|-142.26247|-4996.0|SIO OBS ID P04|2021-11-13T00:00:00|2023-01-30T23:59:59
8Q|P05|29.022255|-142.119943|-5053.0|SIO OBS ID P05|2021-11-21T00:00:00|2023-02-03T23:59:59
8Q|P06|29.046848|-141.182085|-4974.0|SIO OBS ID P06|2021-11-22T00:00:00|2023-02-02T23:59:59
8Q|P07|28.327845|-140.916595|-4890.0|SIO OBS ID P07|2021-11-22T00:00:00|2023-02-01T23:59:59
8Q|P08|27.012373|-141.252573|-4894.0|SIO OBS ID P08|2021-11-20T00:00:00|2023-01-31T23:59:59
8Q|P09|26.612795|-142.356315|-4706.0|SIO OBS ID P09|2021-11-20T00:00:00|2023-01-27T23:59:59
8Q|P10|27.468335|-143.309602|-4936.0|SIO OBS ID P10|2021-11-12T00:00:00|2023-01-27T23:59:59
8Q|P11|28.19732|-143.482162|-4998.0|SIO OBS ID P11|2021-11-10T00:00:00|2023-01-29T23:59:59
8Q|P12|29.909498|-142.683938|-4995.0|SIO OBS ID P12|2021-11-21T00:00:00|2023-02-03T23:59:59
8Q|P13|29.966537|-141.146892|-4934.0|SIO OBS ID P13|2021-11-21T00:00:00|2023-02-04T23:59:59
8Q|P14|28.949705|-140.079823|-4868.0|SIO OBS ID P14|2021-11-22T00:00:00|2023-02-05T23:59:59
8Q|P15|27.844793|-139.753242|-4942.0|SIO OBS ID P15|2021-11-22T00:00:00|2023-02-05T23:59:59
8Q|P16|26.82636|-140.00232|-4793.0|SIO OBS ID P16|2021-11-25T00:00:00|2023-01-26T23:59:59
8Q|P17|25.826362|-141.048872|-4754.0|SIO OBS ID P17|2021-11-25T00:00:00|2023-01-26T23:59:59
8Q|P18|25.762145|-143.392715|-4876.0|SIO OBS ID P18|2021-11-19T00:00:00|2023-01-28T23:59:59
8Q|P19|26.723123|-144.689908|-4961.0|SIO OBS ID P19|2021-11-09T00:00:00|2023-01-28T23:59:59
8Q|P20|29.158303|-137.94284|-4691.0|SIO OBS ID P20|2021-11-23T00:00:00|2023-02-07T23:59:59
8Q|P21|29.6944|-139.63128|-4778.0|SIO OBS ID P21|2021-11-23T00:00:00|2023-02-04T23:59:59
8Q|P22|26.902167|-138.673857|-4869.0|SIO OBS ID P22|2021-11-24T00:00:00|2023-01-25T23:59:59
8Q|P24|28.69066|-139.01093|-4814.0|SIO OBS ID P24|2021-11-23T00:00:00|2023-02-06T23:59:59
8Q|P25|28.147768|-144.38646|-5031.0|SIO OBS ID P25|2021-11-11T00:00:00|2023-01-29T23:59:59
XE|CC01|-4.04578|-132.47451|-4768.0|SIO OBS ID CC01|2018-04-24T00:00:00|2019-05-23T23:59:59
XE|CC02|-4.46461|-132.58299|-4444.0|SIO OBS ID CC02|2018-04-24T00:00:00|2019-05-23T23:59:59
XE|CC03|-4.8816|-132.68895|-4739.0|SIO OBS ID CC03|2018-04-24T00:00:00|2019-01-29T23:59:59
XE|CC04|-5.19374|-132.78996|-4615.0|SIO OBS ID CC04|2018-04-22T00:00:00|2019-05-21T23:59:59
XE|CC05|-5.51738|-132.873|-4798.0|SIO OBS ID CC05|2018-04-21T00:00:00|2019-05-21T23:59:59
XE|CC06|-5.83853|-132.9518|-4824.0|SIO OBS ID CC06|2018-04-21T00:00:00|2019-05-21T23:59:59
XE|CC07|-6.15879|-133.0464|-4628.0|SIO OBS ID CC07|2018-04-21T00:00:00|2019-05-20T23:59:59
XE|CC08|-6.48164|-133.1233|-4745.0|SIO OBS ID CC08|2018-04-19T00:00:00|2019-05-19T23:59:59
XE|CC09|-6.79945|-133.2164|-4615.0|SIO OBS ID CC09|2018-04-19T00:00:00|2019-05-18T23:59:59
XE|CC10|-7.11482|-133.34575|-4618.0|SIO OBS ID CC10|2018-04-19T00:00:00|2018-06-08T23:59:59
XE|CC11|-7.53678|-133.4166|-4636.0|SIO OBS ID CC11|2018-04-19T00:00:00|2019-05-19T23:59:59
XE|CC12|-7.9544|-133.5317|-4595.0|SIO OBS ID CC12|2018-04-18T00:00:00|2018-05-06T23:59:59
XE|EC01|-4.72613|-131.48519|-4576.0|SIO OBS ID EC01|2018-04-23T00:00:00|2019-03-08T23:59:59
XE|EC02|-5.46195|-131.87689|-4773.0|SIO OBS ID EC02|2018-04-22T00:00:00|2018-09-26T23:59:59
XE|EC03|-6.29162|-131.91041|-4742.3|SIO OBS ID EC03|2018-04-20T00:00:00|2018-10-09T23:59:59
XE|EC04|-7.02749|-132.29424|-4778.5|SIO OBS ID EC04|2018-04-20T00:00:00|2019-02-12T23:59:59
XE|EC05|-7.85622|-132.32978|-4587.0|SIO OBS ID EC05|2018-04-18T00:00:00|2019-05-16T23:59:59
XE|EE01|-4.94698|-130.38143|-4645.2|SIO OBS ID EE01|2018-04-16T00:00:00|2019-05-14T23:59:59
XE|EE02|-5.97635|-130.88959|-4632.9|SIO OBS ID EE02|2018-04-16T00:00:00|2019-04-08T23:59:59
XE|EE03|-7.06435|-131.17881|-4628.9|SIO OBS ID EE03|2018-04-17T00:00:00|2019-03-11T23:59:59
XE|EE04|-8.20435|-131.2551|-4683.0|SIO OBS ID EE04|2018-04-17T00:00:00|2019-05-26T23:59:59
XE|WC01|-4.14331|-133.66494|-4483.2|SIO OBS ID WC01|2018-04-25T00:00:00|2019-03-07T23:59:59
XE|WC02|-4.97259|-133.70537|-4618.6|SIO OBS ID WC02|2018-04-25T00:00:00|2019-05-22T23:59:59
XE|WC03|-5.7077|-134.0913|-4483.0|SIO OBS ID WC03|2018-04-26T00:00:00|2019-05-20T23:59:59
XE|WC04|-6.53525|-134.1305|-4534.0|SIO OBS ID WC04|2018-04-26T00:00:00|2019-05-20T23:59:59
XE|WC05|-7.26945|-134.5177|-4478.0|SIO OBS ID WC05|2018-04-27T00:00:00|2019-05-18T23:59:59
XE|WW01|-3.78521|-134.73696|-4534.3|SIO OBS ID WW01|2018-04-29T00:00:00|2019-01-04T23:59:59
XE|WW02|-4.92831|-134.81356|-4681.6|SIO OBS ID WW02|2018-04-28T00:00:00|2018-10-11T23:59:59
XE|WW03|-6.01551|-135.112|-4386.0|SIO OBS ID WW03|2018-04-28T00:00:00|2019-05-17T23:59:59
XE|WW04|-7.0385|-135.62722|-4490.7|SIO OBS ID WW04|2018-04-27T00:00:00|2019-05-17T23:59:59
YL|A01|-21.533899|-175.623505|-1059.0|LDEO Deep OBS A01|2009-11-22T00:00:00|2010-11-28T23:59:59
YL|A02W|-21.4895|-175.789993|-2015.0|WHOI OBS ID S20|2009-11-21T00:00:00|2010-11-29T23:59:59
YL|A03|-21.4431|-175.896103|-1955.0|LDEO Deep OBS A03|2009-11-22T00:00:00|2010-11-29T23:59:59
YL|A04W|-21.3967|-176.033295|-2230.0|WHOI OBS ID S01|2009-11-14T00:00:00|2010-11-29T23:59:59
YL|A05|-21.3521|-176.171005|-2368.0|LDEO Deep OBS A05|2009-11-23T00:00:00|2010-11-29T23:59:59
YL|A06W|-21.303699|-176.321594|-2137.0|WHOI OBS ID S19|2009-11-22T00:00:00|2010-11-30T23:59:59
YL|A07|-21.2743|-176.394302|-2485.0|LDEO Deep OBS A07|2009-11-23T00:00:00|2010-11-30T23:59:59
YL|A08W|-21.2269|-176.530106|-2290.0|WHOI OBS ID S37|2009-11-22T00:00:00|2010-11-30T23:59:59
YL|A09|-21.1807|-176.668106|-2455.0|LDEO Deep OBS A09|2009-11-23T00:00:00|2010-11-30T23:59:59
YL|A10W|-21.126801|-176.806702|-1879.0|WHOI OBS ID S72|2009-11-22T00:00:00|2010-11-30T23:59:59
YL|A11|-21.041901|-177.029007|-1990.0|LDEO Deep OBS A11|2009-11-24T00:00:00|2010-11-30T23:59:59
YL|A12W|-20.980499|-177.255905|-2574.0|WHOI OBS ID S05|2009-11-23T00:00:00|2010-12-01T23:59:59
YL|A13|-20.885401|-177.525894|-2674.0|LDEO Deep OBS A13|2009-11-24T00:00:00|2010-12-01T23:59:59
YL|A14W|-20.6658|-178.155304|-884.0|WHOI OBS ID S53|2009-11-23T00:00:00|2010-12-01T23:59:59
YL|B01W|-20.0483|-175.018005|-1723.0|WHOI OBS ID S43|2009-11-27T00:00:00|2010-11-27T23:59:59
YL|B02|-19.9965|-175.190598|-1495.0|LDEO Deep OBS B02|2009-11-27T00:00:00|2010-11-29T23:59:59
YL|B03|-19.941401|-175.385498|-2015.0|LDEO Deep OBS B03|2009-11-27T00:00:00|2010-11-27T23:59:59
YL|B04W|-19.8918|-175.5345|-2197.0|WHOI OBS ID S33|2009-11-27T00:00:00|2010-11-27T23:59:59
YL|B05W|-19.837799|-175.705093|-2349.0|WHOI OBS ID S28|2009-11-27T00:00:00|2010-11-27T23:59:59
YL|B06|-19.792|-175.8414|-2201.0|LDEO Deep OBS B06|2009-11-28T00:00:00|2010-11-26T23:59:59
YL|B07W|-19.7442|-175.979507|-2623.0|WHOI OBS ID S46|2009-11-27T00:00:00|2010-11-26T23:59:59
YL|B08|-19.7164|-176.065704|-2625.0|LDEO Deep OBS B08|2009-11-28T00:00:00|2010-11-26T23:59:59
YL|B09W|-19.6544|-176.195602|-2626.0|WHOI OBS ID S38|2009-11-27T00:00:00|2010-11-26T23:59:59
YL|B10|-19.6071|-176.333206|-2237.0|LDEO Deep OBS B10|2009-11-29T00:00:00|2010-11-25T23:59:59
YL|B11W|-19.5804|-176.480392|-2060.0|WHOI OBS ID S67|2009-11-29T00:00:00|2010-11-25T23:59:59
